alpha,CL
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.107699708315303989e-02
2.020202020202020166e-01,2.215399416630607979e-02
3.030303030303030387e-01,3.323099124945912142e-02
4.040404040404040331e-01,4.430798833261215958e-02
5.050505050505050830e-01,5.538498541576520467e-02
6.060606060606060774e-01,6.646198249891824283e-02
7.070707070707070718e-01,7.753897958207127405e-02
8.080808080808080662e-01,8.861597666522431915e-02
9.090909090909090606e-01,9.969297374837733650e-02
1.010101010101010166e+00,1.107699708315304093e-01
1.111111111111111160e+00,1.218469679146834267e-01
1.212121212121212155e+00,1.329239649978364857e-01
1.313131313131313149e+00,1.440009620809895030e-01
1.414141414141414144e+00,1.550779591641425481e-01
1.515151515151515138e+00,1.661549562472955932e-01
1.616161616161616132e+00,1.772319533304486383e-01
1.717171717171717127e+00,1.883089504136016556e-01
1.818181818181818121e+00,1.993859474967546730e-01
1.919191919191919116e+00,2.104629445799077736e-01
2.020202020202020332e+00,2.215399416630608187e-01
2.121212121212121104e+00,2.326169387462138083e-01
2.222222222222222321e+00,2.436939358293668534e-01
2.323232323232323093e+00,2.547709329125198985e-01
2.424242424242424310e+00,2.658479299956729713e-01
2.525252525252525082e+00,2.769249270788259332e-01
2.626262626262626299e+00,2.880019241619790060e-01
2.727272727272727071e+00,2.990789212451320234e-01
2.828282828282828287e+00,3.101559183282850962e-01
2.929292929292929060e+00,3.212329154114381136e-01
3.030303030303030276e+00,3.323099124945911864e-01
3.131313131313131048e+00,3.433869095777442038e-01
3.232323232323232265e+00,3.544639066608972766e-01
3.333333333333333481e+00,3.655409037440503495e-01
3.434343434343434254e+00,3.766179008272033113e-01
3.535353535353535470e+00,3.876948979103563842e-01
3.636363636363636243e+00,3.987718949935093460e-01
3.737373737373737459e+00,4.098488920766624188e-01
3.838383838383838231e+00,4.209258891598155472e-01
3.939393939393939448e+00,4.320028862429685645e-01
4.040404040404040664e+00,4.430798833261216374e-01
4.141414141414140992e+00,4.541568804092745437e-01
4.242424242424242209e+00,4.652338774924276166e-01
4.343434343434343425e+00,4.763108745755806339e-01
4.444444444444444642e+00,4.873878716587337068e-01
4.545454545454544970e+00,4.984648687418866686e-01
4.646464646464646187e+00,5.095418658250397970e-01
4.747474747474747403e+00,5.206188629081929253e-01
4.848484848484848619e+00,5.316958599913459427e-01
4.949494949494949836e+00,5.427728570744989600e-01
5.050505050505050164e+00,5.538498541576518663e-01
5.151515151515151381e+00,5.649268512408049947e-01
5.252525252525252597e+00,5.760038483239580120e-01
5.353535353535353813e+00,5.870808454071110294e-01
5.454545454545454142e+00,5.981578424902640467e-01
5.555555555555555358e+00,6.092348395734170641e-01
5.656565656565656575e+00,6.203118366565701924e-01
5.757575757575757791e+00,6.313888337397232098e-01
5.858585858585858119e+00,6.424658308228762271e-01
5.959595959595959336e+00,6.535428279060293555e-01
6.060606060606060552e+00,6.646198249891823728e-01
6.161616161616161769e+00,6.756968220723353902e-01
6.262626262626262097e+00,6.867738191554884075e-01
6.363636363636363313e+00,6.978508162386414249e-01
6.464646464646464530e+00,7.089278133217945532e-01
6.565656565656565746e+00,7.200048104049474595e-01
6.666666666666666963e+00,7.310818074881006989e-01
6.767676767676767291e+00,7.421588045712536053e-01
6.868686868686868507e+00,7.532358016544066226e-01
6.969696969696969724e+00,7.643127987375597510e-01
7.070707070707070940e+00,7.753897958207127683e-01
7.171717171717171269e+00,7.864667929038656746e-01
7.272727272727272485e+00,7.975437899870186920e-01
7.373737373737373701e+00,8.086207870701718203e-01
7.474747474747474918e+00,8.196977841533248377e-01
7.575757575757575246e+00,8.307747812364779660e-01
7.676767676767676463e+00,8.418517783196310944e-01
7.777777777777777679e+00,8.529287754027840007e-01
7.878787878787878896e+00,8.640057724859371291e-01
7.979797979797979224e+00,8.750827695690900354e-01
8.080808080808081328e+00,8.861597666522432748e-01
8.181818181818181657e+00,8.972367637353960701e-01
8.282828282828281985e+00,9.083137608185490874e-01
8.383838383838384090e+00,9.193907579017022158e-01
8.484848484848484418e+00,9.304677549848552331e-01
8.585858585858586522e+00,9.415447520680083615e-01
8.686868686868686851e+00,9.526217491511612678e-01
8.787878787878787179e+00,9.636987462343142852e-01
8.888888888888889284e+00,9.747757433174674135e-01
8.989898989898989612e+00,9.858527404006204309e-01
9.090909090909089940e+00,9.969297374837733372e-01
9.191919191919192045e+00,1.008006734566926577e+00
9.292929292929292373e+00,1.019083731650079594e+00
9.393939393939394478e+00,1.030160728733232833e+00
9.494949494949494806e+00,1.041237725816385851e+00
9.595959595959595134e+00,1.052314722899538646e+00
9.696969696969697239e+00,1.063391719982691885e+00
9.797979797979797567e+00,1.074468717065844681e+00
9.898989898989899672e+00,1.085545714148997920e+00
1.000000000000000000e+01,1.096622711232150715e+00
